id,matchday,date,home,away,fhg,fag
218,22,2025-01-20,CHE,WOL,3,1
219,23,2025-01-25,BOU,NFO,5,0
220,23,2025-01-25,BHA,EVE,0,1
221,23,2025-01-25,LIV,IPS,4,1
222,23,2025-01-25,MCI,CHE,3,1
223,23,2025-01-25,SOU,NEW,1,3
224,23,2025-01-25,WOL,ARS,0,1
225,23,2025-01-26,AVL,WHU,1,1
226,23,2025-01-26,CRY,BRE,1,2
227,23,2025-01-26,FUL,MUN,0,1
228,23,2025-01-26,TOT,LEI,1,2
229,24,2025-02-01,BOU,LIV,0,2
230,24,2025-02-01,EVE,LEI,4,0
231,24,2025-02-01,IPS,SOU,1,2
232,24,2025-02-01,NEW,FUL,1,2
233,24,2025-02-01,NFO,BHA,7,0
234,24,2025-02-01,WOL,AVL,2,0
235,24,2025-02-02,ARS,MCI,5,1
236,24,2025-02-02,BRE,TOT,0,2
237,24,2025-02-02,MUN,CRY,0,2
238,24,2025-02-03,CHE,WHU,2,1
239,15,2025-02-12,EVE,LIV,2,2
240,25,2025-02-14,BHA,CHE,3,0
241,25,2025-02-15,AVL,IPS,1,1
242,25,2025-02-15,CRY,EVE,1,2
243,25,2025-02-15,FUL,NFO,2,1
244,25,2025-02-15,LEI,ARS,0,2
245,25,2025-02-15,MCI,NEW,4,0
246,25,2025-02-15,SOU,BOU,1,3
247,25,2025-02-15,WHU,BRE,0,1
248,25,2025-02-16,LIV,WOL,2,1
249,25,2025-02-16,TOT,MUN,1,0
250,29,2025-02-19,AVL,LIV,2,2
251,26,2025-02-21,LEI,BRE,0,4
252,26,2025-02-22,BOU,WOL,0,1
253,26,2025-02-22,ARS,WHU,0,1
254,26,2025-02-22,AVL,CHE,2,1
255,26,2025-02-22,EVE,MUN,2,2
256,26,2025-02-22,FUL,CRY,0,2
257,26,2025-02-22,IPS,TOT,1,4
258,26,2025-02-22,SOU,BHA,0,4
259,26,2025-02-23,MCI,LIV,0,2
260,26,2025-02-23,NEW,NFO,4,3
261,27,2025-02-25,BHA,BOU,2,1
262,27,2025-02-25,WOL,FUL,1,2
263,27,2025-02-25,CRY,AVL,4,1
264,27,2025-02-25,CHE,SOU,4,0
265,27,2025-02-26,BRE,EVE,1,1
266,27,2025-02-26,NFO,ARS,0,0
